TimeInterval,GantryFrom,GantryTo,VehicleType,TravelTime,TrafficFlow,SpaceMeanSpeed
2023/09/22 20:15,01F0264S,01F0293S,42,126,5,82
2023/05/14 18:15,01F0750S,01F0880S,31,506,271,90
2023/05/27 20:35,01F0557S,01F0578S,5,105,3,72
2023/02/10 07:00,01F0339S,01F0376S,5,174,14,75
2023/05/21 12:30,01F0467S,01F0492S,31,90,184,97
2023/02/01 17:45,01F0511S,01F0532S,31,129,268,57
2023/11/27 18:10,01F0950S,01F0980S,5,157,9,68
2023/05/25 17:25,01F0557S,01F0578S,5,104,7,72
2023/06/20 18:05,01F0532S,01F0557S,41,459,6,18
2023/11/26 08:25,01F0492S,01F0511S,42,75,13,90
2023/08/11 06:10,01F0633S,01F0664S,41,120,2,91
2023/02/24 14:10,01F0880S,01F0928S,41,339,8,50
2023/12/18 09:25,01F0950S,01F0980S,5,131,24,79
2023/02/08 08:30,01F0664S,01F0681S,41,68,1,90
2023/04/14 00:15,01F0578S,01F0633S,32,235,3,82
2023/02/17 04:35,01F0928S,01F0950S,41,78,1,100
2023/02/25 18:50,01F0928S,01F0950S,5,93,5,82
2023/04/13 23:10,01F0699S,01F0750S,31,170,41,108
2023/01/08 23:05,01F0681S,01F0699S,42,78,4,82
2023/06/07 17:30,01F0376S,01F0413S,42,245,6,52
2023/03/23 21:45,01F0928S,01F0950S,42,84,10,91
2023/02/04 16:05,01F0664S,01F0681S,31,64,197,93
2023/03/14 21:50,01F0578S,01F0633S,41,217,3,90
2023/08/01 15:15,01F0578S,01F0633S,5,296,33,64
